lyrics,artiste
Where it rose or whither it rushes,Dickinson
These are the western mystery!,Dickinson
Night after night her purple traffic,Dickinson
Strews the landing with opal bales;,Dickinson
Merchantmen poise upon horizons,Dickinson
Dip and vanish with fairy sails.,Dickinson
XIV.,Dickinson
PURPLE CLOVER.,Dickinson
There is a flower that bees prefer,Dickinson
And butterflies desire;,Dickinson
To gain the purple democrat,Dickinson
And whatsoever insect pass,Dickinson
A honey bears away,Dickinson
Proportioned to his several dearth,Dickinson
And her capacity.,Dickinson
Her face is rounder than the moon,Dickinson
And ruddier than the gown,Dickinson
Of orchis in the pasture,Dickinson
Or rhododendron worn.,Dickinson
She doth not wait for June;,Dickinson
Before the world is green,Dickinson
Her sturdy little countenance,Dickinson
Against the wind is seen,Dickinson
Contending with the grass,Dickinson
Near kinsman to herself,Dickinson
For privilege of sod and sun,Dickinson
Sweet litigants for life.,Dickinson
And when the hills are full,Dickinson
And newer fashions blow,Dickinson
Doth not retract a single spice,Dickinson
For pang of jealousy.,Dickinson
Her public is the noon,Dickinson
Her providence the sun,Dickinson
Her progress by the bee proclaimed,Dickinson
In sovereign swerveless tune.,Dickinson
The bravest of the host,Dickinson
Surrendering the last,Dickinson
Nor even of defeat aware,Dickinson
When cancelled by the frost.,Dickinson
XV.,Dickinson
THE BEE.,Dickinson
Like trains of cars on tracks of plush,Dickinson
I hear the level bee,Dickinson
A jar across the flowers goes,Dickinson
Their velvet masonry,Dickinson
Withstands until the sweet assault,Dickinson
Their chivalry consumes,Dickinson
While he victorious tilts away,Dickinson
To vanquish other blooms.,Dickinson
His feet are shod with gauze,Dickinson
His helmet is of gold;,Dickinson
His breast a single onyx,Dickinson
With chrysoprase inlaid.,Dickinson
His labor is a chant,Dickinson
His idleness a tune;,Dickinson
Oh for a bee's experience,Dickinson
Of clovers and of noon!,Dickinson
XVI.,Dickinson
Presentiment is that long shadow on the lawn,Dickinson
Indicative that suns go down;,Dickinson
The notice to the startled grass,Dickinson
That darkness is about to pass.,Dickinson
XVII.,Dickinson
And then reluctant turn,Dickinson
My flowers raise their pretty lips,Dickinson
Then put their nightgowns on.,Dickinson
As children caper when they wake,Dickinson
Merry that it is morn,Dickinson
My flowers from a hundred cribs,Dickinson
Will peep and prance again.,Dickinson
XVIII.,Dickinson
Angels in the early morning,Dickinson
May be seen the dews among,Dickinson
Stooping plucking smiling flying,Dickinson
Do the buds to them belong?,Dickinson
Angels when the sun is hottest,Dickinson
May be seen the sands among,Dickinson
Stooping plucking sighing flying;,Dickinson
Parched the flowers they bear along.,Dickinson
XIX.,Dickinson
So bashful when I spied her,Dickinson
So pretty so ashamed!,Dickinson
So hidden in her leaflets,Dickinson
Lest anybody find;,Dickinson
So breathless till I passed her,Dickinson
So helpless when I turned,Dickinson
And bore her struggling blushing,Dickinson
Her simple haunts beyond!,Dickinson
For whom I robbed the dingle,Dickinson
For whom betrayed the dell,Dickinson
Many will doubtless ask me,Dickinson
But I shall never tell!,Dickinson
XX.,Dickinson
TWO WORLDS.,Dickinson
It makes no difference abroad,Dickinson
The seasons fit the same,Dickinson
The mornings blossom into noons,Dickinson
And split their pods of flame.,Dickinson
The brooks brag all the day;,Dickinson
No blackbird bates his jargoning,Dickinson
For passing Calvary.,Dickinson
Are nothing to the bee;,Dickinson
His separation from his rose,Dickinson
To him seems misery.,Dickinson
XXI.,Dickinson
THE MOUNTAIN.,Dickinson
The mountain sat upon the plain,Dickinson
In his eternal chair,Dickinson
His observation omnifold,Dickinson
His inquest everywhere.,Dickinson
The seasons prayed around his knees,Dickinson
Like children round a sire,Dickinson
Grandfather of the days is he,Dickinson
Of dawn the ancestor.,Dickinson
XXII.,Dickinson
A DAY.,Dickinson
I'll tell you how the sun rose ,Dickinson
A ribbon at a time.,Dickinson
The steeples swam in amethyst,Dickinson
The news like squirrels ran.,Dickinson
The hills untied their bonnets,Dickinson
The bobolinks begun.,Dickinson
Then I said softly to myself,Dickinson
That must have been the sun!,Dickinson
* * *,Dickinson
But how he set I know not.,Dickinson
There seemed a purple stile,Dickinson
Which little yellow boys and girls,Dickinson
Were climbing all the while,Dickinson
Till when they reached the other side,Dickinson
A dominie in gray,Dickinson
Put gently up the evening bars,Dickinson
And led the flock away.,Dickinson
XXIII.,Dickinson
In chrysoprase apartments hung,Dickinson
This afternoon put on.,Dickinson
How condescending to descend,Dickinson
And be of buttercups the friend,Dickinson
In a New England town!,Dickinson
XXIV.,Dickinson
THE WIND.,Dickinson
Of all the sounds despatched abroad,Dickinson
There's not a charge to me,Dickinson
Like that old measure in the boughs,Dickinson
That phraseless melody,Dickinson
The wind does working like a hand,Dickinson
Whose fingers brush the sky,Dickinson
Then quiver down with tufts of tune,Dickinson
Permitted gods and me.,Dickinson
When winds go round and round in bands,Dickinson
And thrum upon the door,Dickinson
And birds take places overhead,Dickinson
To bear them orchestra,Dickinson
I crave him grace of summer boughs,Dickinson
If such an outcast be,Dickinson
He never heard that fleshless chant,Dickinson
Rise solemn in the tree,Dickinson
As if some caravan of sound,Dickinson
On deserts in the sky,Dickinson
Had broken rank,Dickinson
Then knit and passed,Dickinson
In seamless company.,Dickinson
XXV.,Dickinson
DEATH AND LIFE.,Dickinson
Apparently with no surprise,Dickinson
To any happy flower,Dickinson
The frost beheads it at its play,Dickinson
In accidental power.,Dickinson
The blond assassin passes on,Dickinson
The sun proceeds unmoved,Dickinson
To measure off another day,Dickinson
For an approving God.,Dickinson
XXVI.,Dickinson
'T was later when the summer went,Dickinson
Than when the cricket came,Dickinson
And yet we knew that gentle clock,Dickinson
Meant nought but going home.,Dickinson
'T was sooner when the cricket went,Dickinson
Than when the winter came,Dickinson
Yet that pathetic pendulum,Dickinson
Keeps esoteric time.,Dickinson
XXVII.,Dickinson
INDIAN SUMMER.,Dickinson
These are the days when birds come back,Dickinson
A very few a bird or two,Dickinson
To take a backward look.,Dickinson
These are the days when skies put on,Dickinson
The old old sophistries of June ,Dickinson
A blue and gold mistake.,Dickinson
Oh fraud that cannot cheat the bee,Dickinson
Almost thy plausibility,Dickinson
Induces my belief,Dickinson
Till ranks of seeds their witness bear,Dickinson
And softly through the altered air,Dickinson
Hurries a timid leaf!,Dickinson
Oh sacrament of summer days,Dickinson
Oh last communion in the haze,Dickinson
Permit a child to join,Dickinson
Thy sacred emblems to partake,Dickinson
Thy consecrated bread to break,Dickinson
Taste thine immortal wine!,Dickinson
XXVIII.,Dickinson
AUTUMN.,Dickinson
The morns are meeker than they were,Dickinson
The nuts are getting brown;,Dickinson
The berry's cheek is plumper,Dickinson
The rose is out of town.,Dickinson
The maple wears a gayer scarf,Dickinson
The field a scarlet gown.,Dickinson
I'll put a trinket on.,Dickinson
XXIX.,Dickinson
BECLOUDED.,Dickinson
The sky is low the clouds are mean,Dickinson
A travelling flake of snow,Dickinson
Across a barn or through a rut,Dickinson
Debates if it will go.,Dickinson
A narrow wind complains all day,Dickinson
How some one treated him;,Dickinson
Nature like us is sometimes caught,Dickinson
Without her diadem.,Dickinson
XXX.,Dickinson
THE HEMLOCK.,Dickinson
I think the hemlock likes to stand,Dickinson
Upon a marge of snow;,Dickinson
It suits his own austerity,Dickinson
And satisfies an awe,Dickinson
That men must slake in wilderness,Dickinson
Or in the desert cloy ,Dickinson
An instinct for the hoar the bald,Dickinson
Lapland's necessity.,Dickinson
The hemlock's nature thrives on cold;,Dickinson
The gnash of northern winds,Dickinson
Is sweetest nutriment to him,Dickinson
His best Norwegian wines.,Dickinson
To satin races he is nought;,Dickinson
But children on the Don,Dickinson
Beneath his tabernacles play,Dickinson
And Dnieper wrestlers run.,Dickinson
XXXI.,Dickinson
There's a certain slant of light,Dickinson
On winter afternoons,Dickinson
That oppresses like the weight,Dickinson
Of cathedral tunes.,Dickinson
Heavenly hurt it gives us;,Dickinson
We can find no scar,Dickinson
But internal difference,Dickinson
Where the meanings are.,Dickinson
None may teach it anything,Dickinson
 T is the seal despair ,Dickinson
An imperial affliction,Dickinson
Sent us of the air.,Dickinson
When it comes the landscape listens,Dickinson
Shadows hold their breath;,Dickinson
When it goes 't is like the distance,Dickinson
On the look of death.,Dickinson
IV. TIME AND ETERNITY.,Dickinson
I.,Dickinson
One dignity delays for all,Dickinson
One mitred afternoon.,Dickinson
None can avoid this purple,Dickinson
None evade this crown.,Dickinson
Coach it insures and footmen,Dickinson
Chamber and state and throng;,Dickinson
Bells also in the village,Dickinson
As we ride grand along.,Dickinson
What dignified attendants,Dickinson
What service when we pause!,Dickinson
How loyally at parting,Dickinson
Their hundred hats they raise!,Dickinson
How pomp surpassing ermine,Dickinson
When simple you and I,Dickinson
Present our meek escutcheon,Dickinson
And claim the rank to die!,Dickinson
II.,Dickinson
TOO LATE.,Dickinson
Delayed till she had ceased to know,Dickinson
Delayed till in its vest of snow,Dickinson
Her loving bosom lay.,Dickinson
An hour behind the fleeting breath,Dickinson
Later by just an hour than death ,Dickinson
Oh lagging yesterday!,Dickinson
Could she have guessed that it would be;,Dickinson
Could but a crier of the glee,Dickinson
Have climbed the distant hill;,Dickinson
Had not the bliss so slow a pace ,Dickinson
Who knows but this surrendered face,Dickinson
Were undefeated still?,Dickinson
Oh if there may departing be,Dickinson
Any forgot by victory,Dickinson
In her imperial round,Dickinson
Show them this meek apparelled thing,Dickinson
That could not stop to be a king,Dickinson
Doubtful if it be crowned!,Dickinson
III.,Dickinson
ASTRA CASTRA.,Dickinson
Departed to the judgment,Dickinson
A mighty afternoon;,Dickinson
Great clouds like ushers leaning,Dickinson
Creation looking on.,Dickinson
The flesh surrendered cancelled,Dickinson
The bodiless begun;,Dickinson
Two worlds like audiences disperse,Dickinson
And leave the soul alone.,Dickinson
IV.,Dickinson
Safe in their alabaster chambers,Dickinson
Untouched by morning and untouched by noon,Dickinson
Sleep the meek members of the resurrection,Dickinson
Rafter of satin and roof of stone.,Dickinson
Light laughs the breeze in her castle of sunshine;,Dickinson
Babbles the bee in a stolid ear;,Dickinson
Pipe the sweet birds in ignorant cadence ,Dickinson
Ah what sagacity perished here!,Dickinson
Grand go the years in the crescent above them;,Dickinson
Worlds scoop their arcs and firmaments row,Dickinson
Diadems drop and Doges surrender,Dickinson
Soundless as dots on a disk of snow.,Dickinson
V.,Dickinson
On this long storm the rainbow rose,Dickinson
On this late morn the sun;,Dickinson
The clouds like listless elephants,Dickinson
Horizons straggled down.,Dickinson
The birds rose smiling in their nests,Dickinson
The gales indeed were done;,Dickinson
Alas! how heedless were the eyes,Dickinson
On whom the summer shone!,Dickinson
The quiet nonchalance of death,Dickinson
No daybreak can bestir;,Dickinson
The slow archangel's syllables,Dickinson
Must awaken her.,Dickinson
VI.,Dickinson
FROM THE CHRYSALIS.,Dickinson
My cocoon tightens colors tease,Dickinson
I'm feeling for the air;,Dickinson
A dim capacity for wings,Dickinson
Degrades the dress I wear.,Dickinson
A power of butterfly must be,Dickinson
The aptitude to fly,Dickinson
Meadows of majesty concedes,Dickinson
And easy sweeps of sky.,Dickinson
So I must baffle at the hint,Dickinson
And cipher at the sign,Dickinson
And make much blunder if at last,Dickinson
I take the clew divine.,Dickinson
VII.,Dickinson
SETTING SAIL.,Dickinson
Exultation is the going,Dickinson
Of an inland soul to sea ,Dickinson
Past the houses past the headlands,Dickinson
Into deep eternity!,Dickinson
Bred as we among the mountains,Dickinson
Can the sailor understand,Dickinson
The divine intoxication,Dickinson
Of the first league out from land?,Dickinson
VIII.,Dickinson
Look back on time with kindly eyes,Dickinson
He doubtless did his best;,Dickinson
How softly sinks his trembling sun,Dickinson
In human nature's west!,Dickinson
IX.,Dickinson
A train went through a burial gate,Dickinson
A bird broke forth and sang,Dickinson
And trilled and quivered and shook his throat,Dickinson
Till all the churchyard rang;,Dickinson
And then adjusted his little notes,Dickinson
And bowed and sang again.,Dickinson
Doubtless he thought it meet of him,Dickinson
X.,Dickinson
I died for beauty but was scarce,Dickinson
Adjusted in the tomb,Dickinson
When one who died for truth was lain,Dickinson
In an adjoining room.,Dickinson
He questioned softly why I failed?,Dickinson
For beauty I replied.,Dickinson
And so as kinsmen met a night,Dickinson
We talked between the rooms,Dickinson
Until the moss had reached our lips,Dickinson
And covered up our names.,Dickinson
XI.,Dickinson
TROUBLED ABOUT MANY THINGS.,Dickinson
How many times these low feet staggered,Dickinson
Only the soldered mouth can tell;,Dickinson
Try! can you stir the awful rivet?,Dickinson
Try! can you lift the hasps of steel?,Dickinson
Stroke the cool forehead hot so often,Dickinson
Lift if you can the listless hair;,Dickinson
Handle the adamantine fingers,Dickinson
Never a thimble more shall wear.,Dickinson
Buzz the dull flies on the chamber window;,Dickinson
Brave shines the sun through the freckled pane;,Dickinson
Fearless the cobweb swings from the ceiling ,Dickinson
Indolent housewife in daisies lain!,Dickinson
XII.,Dickinson
REAL.,Dickinson
I like a look of agony,Dickinson
Because I know it 's true;,Dickinson
Men do not sham convulsion,Dickinson
Nor simulate a throe.,Dickinson
The eyes glaze once and that is death.,Dickinson
Impossible to feign,Dickinson
The beads upon the forehead,Dickinson
By homely anguish strung.,Dickinson
XIII.,Dickinson
THE FUNERAL.,Dickinson
That short potential stir,Dickinson
That each can make but once,Dickinson
That bustle so illustrious,Dickinson
T is almost consequence,Dickinson
Is the eclat of death.,Dickinson
Oh thou unknown renown,Dickinson
That not a beggar would accept,Dickinson
Had he the power to spurn!,Dickinson
XIV.,Dickinson
I went to thank her,Dickinson
But she slept;,Dickinson
Her bed a funnelled stone,Dickinson
With nosegays at the head and foot,Dickinson
That travellers had thrown,Dickinson
Who went to thank her;,Dickinson
But she slept.,Dickinson
'T was short to cross the sea,Dickinson
To look upon her like alive,Dickinson
But turning back 't was slow.,Dickinson
XV.,Dickinson
I've seen a dying eye,Dickinson
Run round and round a room,Dickinson
In search of something as it seemed,Dickinson
Then cloudier become;,Dickinson
And then obscure with fog,Dickinson
And then be soldered down,Dickinson
Without disclosing what it be,Dickinson
'T were blessed to have seen.,Dickinson
XVI.,Dickinson
REFUGE.,Dickinson
The clouds their backs together laid,Dickinson
The north begun to push,Dickinson
The forests galloped till they fell,Dickinson
The lightning skipped like mice;,Dickinson
The thunder crumbled like a stuff ,Dickinson
How good to be safe in tombs,Dickinson
Where nature's temper cannot reach,Dickinson
Nor vengeance ever comes!,Dickinson
XVII.,Dickinson
I never saw a moor,Dickinson
I never saw the sea;,Dickinson
Yet know I how the heather looks,Dickinson
And what a wave must be.,Dickinson
I never spoke with God,Dickinson
Nor visited in heaven;,Dickinson
Yet certain am I of the spot,Dickinson
As if the chart were given.,Dickinson
XVIII.,Dickinson
PLAYMATES.,Dickinson
God permits industrious angels,Dickinson
Afternoons to play.,Dickinson
All for him straightway.,Dickinson
God calls home the angels promptly,Dickinson
At the setting sun;,Dickinson
I missed mine. How dreary marbles,Dickinson
After playing Crown!,Dickinson
XIX.,Dickinson
To know just how he suffered would be dear;,Dickinson
To know if any human eyes were near,Dickinson
To whom he could intrust his wavering gaze,Dickinson
Until it settled firm on Paradise.,Dickinson
To know if he was patient part content,Dickinson
Was dying as he thought or different;,Dickinson
Was it a pleasant day to die,Dickinson
And did the sunshine face his way?,Dickinson
What was his furthest mind of home or God,Dickinson
Or what the distant say,Dickinson
At news that he ceased human nature,Dickinson
On such a day?,Dickinson
And wishes had he any?,Dickinson
Just his sigh accented,Dickinson
Had been legible to me.,Dickinson
And was he confident until,Dickinson
Ill fluttered out in everlasting well?,Dickinson
And if he spoke what name was best,Dickinson
What first,Dickinson
What one broke off with,Dickinson
At the drowsiest?,Dickinson
Was he afraid or tranquil?,Dickinson
Might he know,Dickinson
How conscious consciousness could grow,Dickinson
Till love that was and love too blest to be,Dickinson
Meet  and the junction be Eternity?,Dickinson
XX.,Dickinson
The last night that she lived,Dickinson
It was a common night,Dickinson
Except the dying; this to us,Dickinson
Made nature different.,Dickinson
We noticed smallest things ,Dickinson
Things overlooked before,Dickinson
By this great light upon our minds,Dickinson
Italicized as 't were.,Dickinson
That others could exist,Dickinson
While she must finish quite,Dickinson
A jealousy for her arose,Dickinson
So nearly infinite.,Dickinson
We waited while she passed;,Dickinson
It was a narrow time,Dickinson
Too jostled were our souls to speak,Dickinson
At length the notice came.,Dickinson
She mentioned and forgot;,Dickinson
Then lightly as a reed,Dickinson
Bent to the water shivered scarce,Dickinson
Consented and was dead.,Dickinson
And we we placed the hair,Dickinson
And drew the head erect;,Dickinson
And then an awful leisure was,Dickinson
Our faith to regulate.,Dickinson
XXI.,Dickinson
THE FIRST LESSON.,Dickinson
Not in this world to see his face,Dickinson
Sounds long until I read the place,Dickinson
Where this is said to be,Dickinson
But just the primer to a life,Dickinson
Unopened rare upon the shelf,Dickinson
Clasped yet to him and me.,Dickinson
And yet my primer suits me so,Dickinson
I would not choose a book to know,Dickinson
Than that be sweeter wise;,Dickinson
Might some one else so learned be,Dickinson
And leave me just my A B C,Dickinson
Himself could have the skies.,Dickinson
XXII.,Dickinson
The bustle in a house,Dickinson
The morning after death,Dickinson
Is solemnest of industries,Dickinson
Enacted upon earth ,Dickinson
The sweeping up the heart,Dickinson
And putting love away,Dickinson
We shall not want to use again,Dickinson
Until eternity.,Dickinson
XXIII.,Dickinson
I reason earth is short,Dickinson
And anguish absolute,Dickinson
And many hurt;,Dickinson
But what of that?,Dickinson
I reason we could die,Dickinson
The best vitality,Dickinson
Cannot excel decay;,Dickinson
But what of that?,Dickinson
I reason that in heaven,Dickinson
Somehow it will be even,Dickinson
Some new equation given;,Dickinson
But what of that?,Dickinson
XXIV.,Dickinson
Afraid? Of whom am I afraid?,Dickinson
Not death; for who is he?,Dickinson
The porter of my father's lodge,Dickinson
As much abasheth me.,Dickinson
Of life? 'T were odd I fear a thing,Dickinson
That comprehendeth me,Dickinson
In one or more existences,Dickinson
At Deity's decree.,Dickinson
Of resurrection? Is the east,Dickinson
Afraid to trust the morn,Dickinson
With her fastidious forehead?,Dickinson
As soon impeach my crown!,Dickinson
XXV.,Dickinson
DYING.,Dickinson
The sun kept setting setting still;,Dickinson
No hue of afternoon,Dickinson
Upon the village I perceived ,Dickinson
From house to house 't was noon.,Dickinson
The dusk kept dropping dropping still;,Dickinson
No dew upon the grass,Dickinson
But only on my forehead stopped,Dickinson
And wandered in my face.,Dickinson
My feet kept drowsing drowsing still,Dickinson
My fingers were awake;,Dickinson
Yet why so little sound myself,Dickinson
Unto my seeming make?,Dickinson
How well I knew the light before!,Dickinson
I could not see it now.,Dickinson
T is dying I am doing; but,Dickinson
I'm not afraid to know.,Dickinson
XXVI.,Dickinson
Two swimmers wrestled on the spar,Dickinson
Until the morning sun,Dickinson
When one turned smiling to the land.,Dickinson
O God the other one!,Dickinson
The stray ships passing spied a face,Dickinson
Upon the waters borne,Dickinson
With eyes in death still begging raised,Dickinson
And hands beseeching thrown.,Dickinson
XXVII.,Dickinson
THE CHARIOT.,Dickinson
Because I could not stop for Death,Dickinson
He kindly stopped for me;,Dickinson
The carriage held but just ourselves,Dickinson
And Immortality.,Dickinson
We slowly drove he knew no haste,Dickinson
And I had put away,Dickinson
My labor and my leisure too,Dickinson
For his civility.,Dickinson
We passed the school where children played,Dickinson
Their lessons scarcely done;,Dickinson
We passed the fields of gazing grain,Dickinson
We passed the setting sun.,Dickinson
We paused before a house that seemed,Dickinson
A swelling of the ground;,Dickinson
The roof was scarcely visible,Dickinson
The cornice but a mound.,Dickinson
Since then 't is centuries; but each,Dickinson
Feels shorter than the day,Dickinson
I first surmised the horses' heads,Dickinson
Were toward eternity.,Dickinson
XXVIII.,Dickinson
She went as quiet as the dew,Dickinson
From a familiar flower.,Dickinson
Not like the dew did she return,Dickinson
At the accustomed hour!,Dickinson
She dropt as softly as a star,Dickinson
From out my summer's eve;,Dickinson
Less skilful than Leverrier,Dickinson
It's sorer to believe!,Dickinson
XXIX.,Dickinson
RESURGAM.,Dickinson
At last to be identified!,Dickinson
At last the lamps upon thy side,Dickinson
The rest of life to see!,Dickinson
Past midnight past the morning star!,Dickinson
Past sunrise! Ah! what leagues there are,Dickinson
Between our feet and day!,Dickinson
XXX.,Dickinson
Except to heaven she is nought;,Dickinson
Except for angels lone;,Dickinson
A flower superfluous blown;,Dickinson
Except for winds provincial;,Dickinson
Except by butterflies,Dickinson
Unnoticed as a single dew,Dickinson
That on the acre lies.,Dickinson
The smallest housewife in the grass,Dickinson
Yet take her from the lawn,Dickinson
And somebody has lost the face,Dickinson
That made existence home!,Dickinson
XXXI.,Dickinson
Death is a dialogue between,Dickinson
The spirit and the dust.,Dickinson
Death doubts it argues from the ground.,Dickinson
The Spirit turns away,Dickinson
Just laying off for evidence,Dickinson
An overcoat of clay.,Dickinson
XXXII.,Dickinson
It was too late for man,Dickinson
But early yet for God;,Dickinson
Creation impotent to help,Dickinson
But prayer remained our side.,Dickinson
How excellent the heaven,Dickinson
When earth cannot be had;,Dickinson
How hospitable then the face,Dickinson
Of our old neighbor God!,Dickinson
XXXIII.,Dickinson
ALONG THE POTOMAC.,Dickinson
When I was small a woman died.,Dickinson
Went up from the Potomac,Dickinson
His face all victory,Dickinson
To look at her; how slowly,Dickinson
The seasons must have turned,Dickinson
Till bullets clipt an angle,Dickinson
And he passed quickly round!,Dickinson
If pride shall be in Paradise,Dickinson
I never can decide;,Dickinson
Of their imperial conduct,Dickinson
No person testified.,Dickinson
But proud in apparition,Dickinson
That woman and her boy,Dickinson
Pass back and forth before my brain,Dickinson
As ever in the sky.,Dickinson
XXXIV.,Dickinson
The daisy follows soft the sun,Dickinson
And when his golden walk is done,Dickinson
Sits shyly at his feet.,Dickinson
He waking finds the flower near.,Dickinson
Wherefore marauder art thou here?,Dickinson
Because sir love is sweet!,Dickinson
We are the flower Thou the sun!,Dickinson
Forgive us if as days decline,Dickinson
We nearer steal to Thee ,Dickinson
Enamoured of the parting west,Dickinson
The peace the flight the amethyst,Dickinson
Night's possibility!,Dickinson
XXXV.,Dickinson
EMANCIPATION.,Dickinson
No rack can torture me,Dickinson
My soul's at liberty,Dickinson
Behind this mortal bone,Dickinson
There knits a bolder one,Dickinson
You cannot prick with saw,Dickinson
Nor rend with scymitar.,Dickinson
Two bodies therefore be;,Dickinson
Bind one and one will flee.,Dickinson
The eagle of his nest,Dickinson
No easier divest,Dickinson
And gain the sky,Dickinson
Than mayest thou,Dickinson
Except thyself may be,Dickinson
Thine enemy;,Dickinson
Captivity is consciousness,Dickinson
So's liberty.,Dickinson
XXXVI.,Dickinson
LOST.,Dickinson
I lost a world the other day.,Dickinson
Has anybody found?,Dickinson
You'll know it by the row of stars,Dickinson
Around its forehead bound.,Dickinson
A rich man might not notice it;,Dickinson
Yet to my frugal eye,Dickinson
Of more esteem than ducats.,Dickinson
Oh find it sir for me!,Dickinson
XXXVII.,Dickinson
If I shouldn't be alive,Dickinson
When the robins come,Dickinson
Give the one in red cravat,Dickinson
A memorial crumb.,Dickinson
If I couldn't thank you,Dickinson
Being just asleep,Dickinson
You will know I'm trying,Dickinson
With my granite lip!,Dickinson
XXXVIII.,Dickinson
Sleep is supposed to be,Dickinson
By souls of sanity,Dickinson
The shutting of the eye.,Dickinson
Sleep is the station grand,Dickinson
Down which on either hand,Dickinson
The hosts of witness stand!,Dickinson
Morn is supposed to be,Dickinson
By people of degree,Dickinson
The breaking of the day.,Dickinson
Morning has not occurred!,Dickinson
That shall aurora be,Dickinson
East of eternity;,Dickinson
One with the banner gay,Dickinson
One in the red array ,Dickinson
That is the break of day.,Dickinson
XXXIX.,Dickinson
I shall know why when time is over,Dickinson
And I have ceased to wonder why;,Dickinson
Christ will explain each separate anguish,Dickinson
In the fair schoolroom of the sky.,Dickinson
He will tell me what Peter promised,Dickinson
And I for wonder at his woe,Dickinson
I shall forget the drop of anguish,Dickinson
That scalds me now that scalds me now.,Dickinson
XL.,Dickinson
I never lost as much but twice,Dickinson
And that was in the sod;,Dickinson
Twice have I stood a beggar,Dickinson
Before the door of God!,Dickinson
Angels twice descending,Dickinson
Reimbursed my store.,Dickinson
Burglar banker father,Dickinson
I am poor once more!,Dickinson
POEMS,Dickinson
by EMILY DICKINSON,Dickinson
Second Series,Dickinson
Edited by two of her friends,Dickinson
MABEL LOOMIS TODD and T.W. HIGGINSON,Dickinson
PREFACE,Dickinson
Although Emily Dickinson had been in the habit of sending occasional poems to friends and correspondents the full extent of her writing was by no means imagined by them. Her friend H.H. must at least have suspected it for in a letter dated 5th September 1884 she wrote,Dickinson
Truly yours,Dickinson
HELEN JACKSON.,Dickinson
The variation of readings with the fact that she often wrote in pencil and not always clearly have at times thrown a good deal of responsibility upon her Editors. But all interference not absolutely inevitable has been avoided. The very roughness of her rendering is part of herself and not lightly to be touched; for it seems in many cases that she intentionally avoided the smoother and more usual rhymes.,Dickinson
Storm wind the wild March sky sunsets and dawns; the birds and bees butterflies and flowers of her garden with a few trusted human friends were sufficient companionship. The coming of the first robin was a jubilee beyond crowning of monarch or birthday of pope; the first red leaf hurrying through the altered air an epoch. Immortality was close about her; and while never morbid or melancholy she lived in its presence.,Dickinson
MABEL LOOMIS TODD.,Dickinson
AMHERST MASSACHUSETTS,Dickinson
August 1891.,Dickinson
My nosegays are for captives;,Dickinson
Fingers denied the plucking,Dickinson
Patient till paradise,Dickinson
To such if they should whisper,Dickinson
Of morning and the moor,Dickinson
They bear no other errand,Dickinson
And I no other prayer.,Dickinson
I. LIFE.,Dickinson
I.,Dickinson
I'm nobody! Who are you?,Dickinson
Are you nobody too?,Dickinson
Then there 's a pair of us  don't tell!,Dickinson
They 'd banish us you know.,Dickinson
How dreary to be somebody!,Dickinson
How public like a frog,Dickinson
To tell your name the livelong day,Dickinson
To an admiring bog!,Dickinson
II.,Dickinson
I bring an unaccustomed wine,Dickinson
To lips long parching next to mine,Dickinson
And summon them to drink.,Dickinson
Crackling with fever they essay;,Dickinson
I turn my brimming eyes away,Dickinson
And come next hour to look.,Dickinson
The hands still hug the tardy glass;,Dickinson
The lips I would have cooled alas!,Dickinson
Are so superfluous cold,Dickinson
I would as soon attempt to warm,Dickinson
The bosoms where the frost has lain,Dickinson
Ages beneath the mould.,Dickinson
Some other thirsty there may be,Dickinson
To whom this would have pointed me,Dickinson
Had it remained to speak.,Dickinson
And so I always bear the cup,Dickinson
If haply mine may be the drop,Dickinson
Some pilgrim thirst to slake ,Dickinson
If haply any say to me,Dickinson
Unto the little unto me,Dickinson
When I at last awake.,Dickinson
III.,Dickinson
The nearest dream recedes unrealized.,Dickinson
The heaven we chase,Dickinson
Like the June bee,Dickinson
Invites the race;,Dickinson
Stoops to an easy clover ,Dickinson
Dips  evades  teases  deploys;,Dickinson
Then to the royal clouds,Dickinson
Lifts his light pinnace,Dickinson
Heedless of the boy,Dickinson
Staring bewildered at the mocking sky.,Dickinson
Homesick for steadfast honey,Dickinson
Ah! the bee flies not,Dickinson
That brews that rare variety.,Dickinson
IV.,Dickinson
We play at paste,Dickinson
Till qualified for pearl,Dickinson
Then drop the paste,Dickinson
And deem ourself a fool.,Dickinson
The shapes though were similar,Dickinson
And our new hands,Dickinson
Practising sands.,Dickinson
V.,Dickinson
I found the phrase to every thought,Dickinson
I ever had but one;,Dickinson
And that defies me  as a hand,Dickinson
Did try to chalk the sun,Dickinson
To races nurtured in the dark; ,Dickinson
How would your own begin?,Dickinson
Can blaze be done in cochineal,Dickinson
Or noon in mazarin?,Dickinson
VI.,Dickinson
HOPE.,Dickinson
Hope is the thing with feathers,Dickinson
That perches in the soul,Dickinson
And sings the tune without the words,Dickinson
And never stops at all,Dickinson
And sweetest in the gale is heard;,Dickinson
And sore must be the storm,Dickinson
That could abash the little bird,Dickinson
That kept so many warm.,Dickinson
I 've heard it in the chillest land,Dickinson
And on the strangest sea;,Dickinson
Yet never in extremity,Dickinson
It asked a crumb of me.,Dickinson
VII.,Dickinson
THE WHITE HEAT.,Dickinson
Dare you see a soul at the white heat?,Dickinson
