lyrics,artiste
Hold me like I'm more than just a friend,Adele
Give me a memory I can use,Adele
Take me by the hand while we do what lovers do,Adele
It matters how this ends,Adele
'Cause what if I never love again? I don't need your honesty,Adele
It's already in your eyes,Adele
And I'm sure my eyes they speak for me,Adele
No one knows me like you do,Adele
And since you're the only one that matters,Adele
Tell me who do I run to? Look don't get me wrong,Adele
I know there is no tomorrow,Adele
All I ask is If this is my last night with you,Adele
Hold me like I'm more than just a friend,Adele
Give me a memory I can use,Adele
Take me by the hand while we do what lovers do,Adele
It matters how this ends,Adele
'Cause what if I never love again? Let this be our lesson in love,Adele
Let this be the way we remember us,Adele
I don't wanna be cruel or vicious,Adele
And I ain't asking for forgiveness,Adele
All I ask is If this is my last night with you,Adele
Hold me like I'm more than just a friend,Adele
Give me a memory I can use,Adele
Take me by the hand while we do what lovers do,Adele
It matters how this ends,Adele
Cause what if I never love again? I let it fall my heart,Adele
And as it fell you rose to claim it,Adele
It was dark and I was over,Adele
Until you kissed my lips and you saved me My hands they're strong,Adele
But my knees were far too weak,Adele
To stand in your arms,Adele
Without falling to your feet But there's a side to you that I never knew never knew,Adele
All the things you'd say they were never true never true,Adele
And the games you'd play you would always win always win But I set fire to the rain,Adele
Watched it pour as I touched your face,Adele
Let it burn while I cry,Adele
Cause I heard it screaming out your name your name When laying with you,Adele
I could stay there close my eyes,Adele
Feel you here forever,Adele
You and me together nothing gets better Cause there's a side to you that I never knew never knew,Adele
All the things you'd say they were never true never true,Adele
And the games you'd play you would always win always win But I set fire to the rain,Adele
Watched it pour as I touched your face,Adele
Let it burn while I cried,Adele
Cause I heard it screaming out your name your name I set fire to the rain,Adele
And I threw us into the flames,Adele
Where I felt something die 'cause I knew that,Adele
That was the last time the last time Sometimes I wake up by the door,Adele
As if that heart you caught is still waiting for you,Adele
Even now when it's already over,Adele
I can't help myself from looking for you I set fire to the rain,Adele
Watched it pour as I touched your face,Adele
Let it burn while I cried,Adele
Cause I heard it screaming out your name your name I set fire to the rain,Adele
And I threw us into the flames,Adele
Where I felt something die,Adele
Cause I knew that that was the last time the last time oh,Adele
Oh oh Let it burn oh,Adele
Let it burn,Adele
Let it burn Everybody loves the things you do,Adele
From the way you talk,Adele
To the way you move,Adele
Everybody here is watching you,Adele
'Cause you feel like home,Adele
You're like a dream come true,Adele
But if by chance you're here alone,Adele
Can I have a moment,Adele
Before I go?,Adele
'Cause I've been by myself all night long,Adele
Hoping you're someone I used to know You look like a movie,Adele
You sound like a song,Adele
My God this reminds me,Adele
Of when we were young Let me photograph you in this light,Adele
In case it is the last time,Adele
That we might be exactly like we were,Adele
Before we realized,Adele
We were sad of getting old,Adele
It made us restless,Adele
It was just like a movie,Adele
It was just like a song I was so scared to face my fears,Adele
Nobody told me that you'd be here,Adele
That's what you said when you left me You still look like a movie,Adele
You still sound like a song,Adele
My God this reminds me,Adele
Of when we were young Let me photograph you in this light,Adele
In case it is the last time,Adele
That we might be exactly like we were,Adele
Before we realized,Adele
We were sad of getting old,Adele
It made us restless,Adele
It was just like a movie,Adele
It was just like a song When we were young,Adele
When we were young,Adele
When we were young,Adele
When we were young It's hard to win me back,Adele
Everything just takes me back,Adele
To when you were there,Adele
To when you were there,Adele
And a part of me keeps holding on,Adele
Just in case it hasn't gone,Adele
I guess I still care,Adele
Do you still care? It was just like a movie,Adele
It was just like a song,Adele
My God this reminds me,Adele
Of when we were young When we were young,Adele
When we were young,Adele
When we were young,Adele
When we were young Let me photograph you in this light,Adele
In case it is the last time,Adele
That we might be exactly like we were,Adele
Before we realized,Adele
We were sad of getting old,Adele
It made us restless,Adele
Oh I'm so mad I'm getting old,Adele
It makes me reckless,Adele
It was just like a movie,Adele
It was just like a song,Adele
When we were young Whenever I'm alone with you,Adele
You make me feel like I am home again,Adele
Whenever I'm alone with you,Adele
You make me feel like I am whole again Whenever I'm alone with you,Adele
You make me feel like I am young again,Adele
Whenever I'm alone with you,Adele
You make me feel like I am fun again However far away I will always love you,Adele
However long I stay I will always love you,Adele
Whatever words I say I will always love you,Adele
I will always love you Whenever I'm alone with you,Adele
You make me feel like I am free again,Adele
Whenever I'm alone with you,Adele
You make me feel like I am clean again However far away I will always love you,Adele
However long I stay I will always love you,Adele
Whatever words I say I will always love you,Adele
I will always love you However far away I will always love you,Adele
However long I stay I will always love you,Adele
Whatever words I say I will always love you,Adele
I will always love you,Adele
I will always love you,Adele
'Cause I love you When the rain is blowing in your face,Adele
And the whole world is on your case,Adele
I could offer you a warm embrace,Adele
To make you feel my love When the evening shadows and the stars appear,Adele
And there is no one there to dry your tears,Adele
I could hold you for a million years,Adele
To make you feel my love I know you haven't made your mind up yet,Adele
But I would never do you wrong,Adele
I've known it from the moment that we met,Adele
no doubt in my mind were you belong I'd go hungry I'd go black and blue,Adele
I'd go crawling down the avenue,Adele
No there's nothing that I wouldn't do,Adele
To make you feel my love The storms are raging on the rolling sea,Adele
And on the highway of regret,Adele
The winds of change are blowing wild and free,Adele
You ain't seen nothing like me yet I could make you happy make your dreams come true,Adele
Nothing that I wouldn't do,Adele
Go to the ends of the Earth for you,Adele
To make you feel my love To make you feel my love I've made up my mind,Adele
Don't need to think it over,Adele
If I'm wrong I am right,Adele
Don't need to look no further,Adele
This ain't lust,Adele
I know this is love but If I tell the world,Adele
I'll never say enough,Adele
Cause it was not said to you,Adele
And that's exactly what I need to do,Adele
If I'm in love with you Should I give up,Adele
Or should I just keep chasing pavements?,Adele
Even if it leads nowhere,Adele
Or would it be a waste?,Adele
Even If I knew my place should I leave it there?,Adele
Should I give up,Adele
Or should I just keep chasing pavements?,Adele
Even if it leads nowhere I'd build myself up,Adele
And fly around in circles,Adele
